rank,material_id,formula,space_group,theta_D_K,lambda,lambda_source,Tc_estimated_K,Tc_experimental_K,R_tau,R_tau_multi,n_channels,channels,channels_needed_300K,pressure_GPa,notes
873,mp-978847,SrGaGeH,P3m1,237.2,0.750,metal hydride heuristic,6.73,0.0,0.017729,0.017729,1,phonon,45,0.0,
874,mp-978854,Sr(GaH)2,P-3m1,234.8,0.750,metal hydride heuristic,6.66,0.0,0.017382,0.017382,1,phonon,46,0.0,
875,mp-23736,LiMgH3,R3c,148.5,1.200,hydride heuristic (H_count=3),10.40,0.0,0.017158,0.017158,1,phonon,29,0.0,
876,mp-1189066,Y5Si3H,P6_3/mcm,229.4,0.750,metal hydride heuristic,6.51,0.0,0.016590,0.016590,1,phonon,47,0.0,
877,mp-1060435,TiH,Fm-3m,228.0,0.750,metal hydride heuristic,6.47,0.0,0.016393,0.016393,1,phonon,47,0.0,
878,mp-1205301,Y3H,Pmma,226.1,0.750,metal hydride heuristic,6.42,0.0,0.016121,0.016121,1,phonon,47,0.0,
879,mp-568177,CaAlSiH,P3m1,182.7,0.900,light-element hydride heuristic,7.94,0.0,0.016114,0.016114,1,phonon,38,0.0,
880,mp-3346732,Ca16HN8,Pnnm,182.6,0.900,light-element hydride heuristic,7.94,0.0,0.016099,0.016099,1,phonon,38,0.0,
881,mp-675153,Ca16HN8,Pmn2_1,181.8,0.900,light-element hydride heuristic,7.90,0.0,0.015960,0.015960,1,phonon,38,0.0,
882,mp-1077045,Ti2H,Pn-3m,224.6,0.750,metal hydride heuristic,6.37,0.0,0.015899,0.015899,1,phonon,48,0.0,
883,mp-1202832,Ba38Na58Li26H,F-43m,179.6,0.900,light-element hydride heuristic,7.80,0.0,0.015572,0.015572,1,phonon,39,0.0,
884,mp-979137,SrGaSiH,P3m1,221.8,0.750,metal hydride heuristic,6.29,0.0,0.015508,0.015508,1,phonon,48,0.0,
885,mp-690760,TiH,P4_2/mmc,221.8,0.750,metal hydride heuristic,6.29,0.0,0.015503,0.015503,1,phonon,48,0.0,
886,mp-1197921,H4S4N,C2/m,129.5,1.350,hydride heuristic (H_count=4),10.66,0.0,0.015337,0.015337,1,phonon,29,0.0,
887,mp-1222386,LiBH4,F-43m,127.5,1.350,hydride heuristic (H_count=4),10.49,0.0,0.014866,0.014866,1,phonon,29,0.0,
888,mp-995202,HC6,P-1,170.2,0.900,light-element hydride heuristic,7.40,0.0,0.013994,0.013994,1,phonon,41,0.0,
889,mp-1105785,LiH2N,P2_1/c,150.9,1.000,light-element hydride heuristic,8.01,0.0,0.013434,0.013434,1,phonon,38,0.0,
890,mp-1079418,LiH2N,P-42_1m,150.4,1.000,light-element hydride heuristic,7.98,0.0,0.013332,0.013332,1,phonon,38,0.0,
891,mp-644229,Sr(AlH)2,P-3m1,196.3,0.750,metal hydride heuristic,5.57,0.0,0.012150,0.012150,1,phonon,54,0.0,
892,mp-1223097,Li2HN,Ima2,158.4,0.900,light-element hydride heuristic,6.88,0.0,0.012119,0.012119,1,phonon,44,0.0,
893,mp-707454,Li(H3N)4,I-43d,119.4,1.200,hydride heuristic (H_count=3),8.37,0.0,0.011102,0.011102,1,phonon,36,0.0,
894,mp-696588,PH3,P1,115.0,1.200,hydride heuristic (H_count=3),8.06,0.0,0.010299,0.010299,1,phonon,38,0.0,
895,mp-1185672,Mg16Al12H,Cm,176.2,0.750,metal hydride heuristic,5.00,0.0,0.009792,0.009792,1,phonon,60,0.0,
896,mp-1238837,BH,C2/c,137.3,0.900,light-element hydride heuristic,5.97,0.0,0.009107,0.009107,1,phonon,51,0.0,
897,mp-1185556,Mg149H,P-6m2,167.0,0.750,metal hydride heuristic,4.74,0.0,0.008789,0.008789,1,phonon,64,0.0,
